,SalesID,SalePrice
0,1227829,16412.2108016656
1,1227844,17783.999748075094
2,1227847,43602.984195093944
3,1227848,80076.91776478464
4,1227863,40295.78093333251
5,1227870,30421.68469500213
6,1227871,27534.72908763777
7,1227879,11916.401798555571
8,1227880,15454.848812064405
9,1227881,38508.23171157561
10,1227882,55549.09037085846
11,1227883,52045.81146441522
12,1227885,35436.70789828211
13,1227886,36347.728585492645
14,1227887,24945.587358556884
15,1227888,24945.587358556884
16,1227905,22345.279370447188
17,1227910,50430.42197437173
18,1227911,36090.42803117055
19,1227912,29700.51924207577
20,1227913,25408.318641254067
21,1227914,32466.09961148309
22,1227917,10174.197664165582
23,1227918,25396.119707917962
24,1227920,10622.023969220905
25,1227924,30924.103453984157
26,1227925,22731.298595431585
27,1227930,10409.572690783276
28,1227933,17302.007264052878
29,1227942,19426.055662570365
30,1227949,28812.02496174962
31,1227972,18029.925799815526
32,1227976,30619.332343866805
33,1227977,6266.647421489961
34,1227979,45956.18046245435
35,1227980,14131.200938191836
36,1227988,24554.840411494755
37,1227990,15646.656550876007
38,1227991,23886.684066501773
39,1227992,19011.8854939159
40,1227994,25877.980003699628
41,1227997,23932.16336933402
42,1228007,34819.72920666312
43,1228012,64804.52635642061
44,1228019,65396.84948171244
45,1228031,20888.6243930215
46,1228040,61293.49096102145
47,1228042,23962.5477030235
48,1228046,10483.08896239837
49,1228049,21275.138936504765
50,1228050,34294.97384424566
51,1228056,10126.543501109754
52,1228061,27298.08171504677
53,1228065,6541.149075178124
54,1228069,6861.889437374187
55,1228071,25281.533973187747
56,1228072,25155.343496997266
57,1228075,26336.24457463487
58,1228076,26996.733933471325
59,1228089,29881.053085614156
60,1228104,17106.302110957236
61,1228105,50940.55347511626
62,1228107,34705.372753369724
63,1228113,37136.801213061786
64,1228117,31239.73599200252
65,1228119,30139.983477372287
66,1228122,30247.576028155338
67,1228123,63447.99198078865
68,1228124,6146.087525097753
69,1228129,25979.17404881362
70,1228130,54210.33410394724
71,1228131,52695.55494985546
72,1228134,28158.54420606308
73,1228135,20817.660922409614
74,1228136,27681.04497284239
75,1228142,14546.936399397644
76,1228145,32540.910499692724
77,1228149,25391.487564850144
78,1228150,25864.57498518614
